# ============================================================
# 台灣加權股價報酬指數（發行量加權股價報酬指數）歷史資料
# ============================================================
#
# 【概念說明】
# 台灣有兩個主要指數：
#   1. 加權指數（Price Index，^TWII）：只反映股價漲跌，不含股利
#   2. 加權報酬指數（Total Return Index，本檔案）：股價漲跌 + 股利自動再投入
#
# 差異範例（2024年）：
#   加權指數 2023年底→2024年底：17,930 → 23,395，漲幅 +30.5%（不含息）
#   報酬指數 2023年底→2024年底：38,641 → 50,903，漲幅 +31.7%（含息）
#   差距 ≈ +1.2%，即 2024 年股利貢獻約 1.2%
#
# 【為何用報酬指數而非加權指數？】
# 投資人實際持有 ETF（如 0050）時，配息可以再投入繼續複利滾動。
# 報酬指數才是真實的「持有並再投入」的長期報酬。
# 用加權指數（不含息）計算滾動報酬，會低估實際年化報酬約 2~3%。
#
# 【資料來源】
# 台灣證券交易所（TWSE）官方 API
# URL: https://www.twse.com.tw/rwd/zh/TAIEX/MFI94U?response=json&date=YYYYMMDD
# 抓取時間：2026-05-31
# 資料範圍：2003-01-02 ~ 2026-05-29（每個交易日收盤值）
#
# 【欄位說明】
# date              : 日期（YYYY-MM-DD，西元）
# tr_index          : 發行量加權股價報酬指數收盤值
# year_end_flag     : Y = 該年最後一個交易日（用於計算年化報酬）
# annual_return_pct : 相對前一年最後交易日的報酬率（%），含股利再投入
# ============================================================
date,tr_index,year_end_flag,annual_return_pct
2003-09-23,5809.77,,
2003-09-24,5848.98,,
2003-09-25,5814.08,,
2003-09-26,5775.12,,
2003-09-29,5768.37,,
2003-09-30,5735.57,,
2003-10-01,5705.16,,
2003-10-02,5826.00,,
2003-10-03,5874.99,,
2003-10-06,5980.69,,
2003-10-07,5986.29,,
2003-10-08,5950.64,,
2003-10-09,5999.79,,
2003-10-13,6104.94,,
2003-10-14,6070.14,,
2003-10-15,6055.78,,
2003-10-16,6169.64,,
2003-10-17,6176.78,,
2003-10-20,6212.75,,
2003-10-21,6195.95,,
2003-10-22,6175.92,,
2003-10-23,6084.30,,
2003-10-24,6049.45,,
2003-10-27,6090.76,,
2003-10-28,6210.25,,
2003-10-29,6231.13,,
2003-10-30,6243.68,,
2003-10-31,6179.34,,
2003-11-03,6222.66,,
2003-11-04,6244.68,,
2003-11-05,6278.76,,
2003-11-06,6146.98,,
2003-11-07,6191.38,,
2003-11-10,6193.63,,
2003-11-11,6155.86,,
2003-11-12,6115.65,,
2003-11-13,6169.52,,
2003-11-14,6179.05,,
2003-11-17,6084.55,,
2003-11-18,6071.41,,
2003-11-19,5995.80,,
2003-11-20,5963.84,,
2003-11-21,5959.57,,
2003-11-24,5950.90,,
2003-11-25,5991.38,,
2003-11-26,5990.80,,
2003-11-27,5868.09,,
2003-11-28,5899.99,,
2003-12-01,6000.57,,
2003-12-02,6042.77,,
2003-12-03,6015.70,,
2003-12-04,6051.97,,
2003-12-05,6031.12,,
2003-12-08,5977.03,,
2003-12-09,5989.73,,
2003-12-10,5932.34,,
2003-12-11,5997.39,,
2003-12-12,5988.46,,
2003-12-15,6055.84,,
2003-12-16,6018.00,,
2003-12-17,5879.79,,
2003-12-18,5896.91,,
2003-12-19,5887.16,,
2003-12-22,5964.73,,
2003-12-23,5975.37,,
2003-12-24,5988.02,,
2003-12-25,5983.76,,
2003-12-26,5987.34,,
2003-12-29,5933.87,,
2003-12-30,5997.10,,
2003-12-31,6021.57,Y,
2004-01-02,6175.79,,
2004-01-05,6261.52,,
2004-01-06,6280.51,,
2004-01-07,6277.70,,
2004-01-08,6306.23,,
2004-01-09,6365.33,,
2004-01-12,6357.90,,
2004-01-13,6348.28,,
2004-01-14,6414.47,,
2004-01-15,6403.62,,
2004-01-16,6409.09,,
2004-01-27,6526.56,,
2004-01-28,6528.22,,
2004-01-29,6452.98,,
2004-01-30,6517.11,,
2004-02-02,6460.46,,
2004-02-03,6391.22,,
2004-02-04,6380.14,,
2004-02-05,6407.48,,
2004-02-06,6494.59,,
2004-02-09,6606.76,,
2004-02-10,6632.58,,
2004-02-11,6597.88,,
2004-02-12,6580.04,,
2004-02-13,6694.77,,
2004-02-16,6711.32,,
2004-02-17,6747.20,,
2004-02-18,6752.70,,
2004-02-19,6830.05,,
2004-02-20,6813.72,,
2004-02-23,6814.07,,
2004-02-24,6735.71,,
2004-02-25,6791.99,,
2004-02-26,6842.04,,
2004-02-27,6900.61,,
2004-03-01,7041.56,,
2004-03-02,7130.32,,
2004-03-03,7086.28,,
2004-03-04,7190.47,,
2004-03-05,7098.04,,
2004-03-08,7054.90,,
2004-03-09,7128.94,,
2004-03-10,7027.75,,
2004-03-11,7032.04,,
2004-03-12,6951.41,,
2004-03-15,6783.50,,
2004-03-16,6736.22,,
2004-03-17,6724.21,,
2004-03-18,6937.91,,
2004-03-19,6966.59,,
2004-03-22,6501.30,,
2004-03-23,6310.12,,
2004-03-24,6351.69,,
2004-03-25,6293.60,,
2004-03-26,6268.95,,
2004-03-29,6618.03,,
2004-03-30,6639.09,,
2004-03-31,6667.18,,
2004-04-01,6668.51,,
