date,vt_return,vt050_return,notes
# 說明：
# date         = 年月，格式 YYYY-MM
# vt_return    = VT 月報酬率（%）
#                1998-01~2008-06：VTSMX 58% + VGTSX 42% 代理
#                2008-07 起：VT Adj Close 實際（Yahoo Finance）
# vt050_return = 台股加權指數（^TWII）月報酬率（%），不含息
# notes        = 備註
#
2012-11,1.5291,5.7789,
2012-12,3.108,1.5742,
2013-01,4.0064,1.9549,
2013-02,-0.3113,0.6109,
2013-03,2.3533,0.2612,
2013-04,2.6779,2.2106,
2013-05,-0.5588,1.9909,
2013-06,-2.6714,-2.333,
2013-07,5.164,0.5672,
2013-08,-2.4552,-1.0613,
2013-09,5.5876,1.8946,
2013-10,3.7083,3.3789,
2013-11,1.5449,-0.5116,
2013-12,2.1967,2.4347,
2014-01,-4.4445,-1.7295,
2014-02,5.215,2.0917,
2014-03,0.4866,2.4272,
2014-04,0.7374,-0.6536,
2014-05,2.0463,3.2358,
2014-06,2.2065,3.4945,
2014-07,-1.7516,-0.8221,
2014-08,2.6496,1.2926,
2014-09,-3.3359,-4.9739,
2014-10,0.944,0.0874,
2014-11,1.2633,2.3665,
2014-12,-1.9819,1.3074,
2015-01,-1.6301,0.5872,
2015-02,5.952,2.7792,
2015-03,-1.2138,-0.3706,
2015-04,2.5491,2.4369,
2015-05,0.3325,-1.2116,
2015-06,-2.2203,-3.897,
2015-07,0.5039,-7.0544,
2015-08,-6.6311,-5.6596,
2015-09,-3.7109,0.0773,
2015-10,7.2862,4.56,
2015-11,-0.0842,-2.732,
2015-12,-2.184,0.2097,
2016-01,-5.866,-3.0877,
2016-02,-1.1062,4.0909,
2016-03,7.9725,3.967,
2016-04,1.0054,-4.196,
2016-05,0.6521,1.8822,
2016-06,-0.1852,1.5347,
2016-07,4.1502,3.6673,
2016-08,0.3472,0.9399,
2016-09,0.7786,1.0806,
2016-10,-1.9721,1.3447,
2016-11,1.1903,-0.5318,
2016-12,1.8138,0.1385,
2017-01,3.0,2.1014,
2017-02,2.6898,3.202,
2017-03,1.4765,0.6261,
2017-04,1.6253,0.6164,
2017-05,1.9463,1.7091,
2017-06,0.6312,3.5291,
2017-07,2.6506,0.3103,
2017-08,0.4184,1.5196,
2017-09,2.1076,-2.4168,
2017-10,2.1069,4.4904,
2017-11,1.8973,-2.162,
2017-12,1.5945,0.7805,
2018-01,5.4807,4.3309,
2018-02,-4.4427,-2.5966,
2018-03,-1.279,0.8391,
